2620069,"{""filename"":""2620069"",""title"":""DOWN A DARK HALL"",""Genre"":""Drama"",""Rating"":""PG-13"",""Short_Synopsis"":""Based on Lois Duncan's young adult thriller, story follows Kit Gordy, a new student at Blackwood Boarding School, who must unlock the mysteries of the school's tragic past."",""adBreaks"":""00:11:25:22,00:25:21:07,00:36:30:01,00:48:40:26,01:01:56:28,01:13:02:21,01:25:37:09"",""Director"":""Rodrigo Cort�s"",""Cast"":""AnnaSophia Robb, Isabelle Fuhrman, Victoria Moroles, Noah Silver, Taylor Russell, Rosie Day, Uma Thurman, Kirsty Mitchell"",""Runtime"":""96"",""HD"":""Yes"",""license_start_date"":""01-03-2022T00:00:00.000Z"",""license_end_date"":""31-03-2022T00:00:00.000Z"",""release date"":""2018""}"
3770035,"{""filename"":""3770035"",""title"":""FACTORY GIRL"",""Genre"":""Drama"",""Rating"":""R"",""Short_Synopsis"":""A wanna-be star meets and falls for Andy Warhol, and he promises her the fame she's always dreamed of."",""adBreaks"":""00:10:14:26,00:22:45:13,00:34:08:02,00:45:32:11,00:57:23:07,01:11:54:09,01:25:31:01"",""Director"":""George Hickenlooper"",""Cast"":""Sienna Miller, Guy Pearce, Hayden Christensen, Jimmy Fallon, Mary Elizabeth Winstead"",""Runtime"":""90"",""HD"":""Yes"",""license_start_date"":""01-03-2022T00:00:00.000Z"",""license_end_date"":""31-03-2022T00:00:00.000Z"",""release date"":""2006""}"
2550159,"{""filename"":""2550159"",""title"":""GREAT BUCK HOWARD, THE"",""Genre"":""Comedy, Drama"",""Rating"":""PG"",""Short_Synopsis"":""Troy Gable drops out of law school to become an apprentice to Buck Howard, an illusionist whose best days are behind him."",""adBreaks"":""00:12:22:03,00:23:14:03,00:36:18:13,00:47:50:06,01:01:58:18,01:15:21:01"",""Director"":""Sean McGinly"",""Cast"":""John Malkovich, Colin Hanks, Emily Blunt, Ricky Jay, Steve Zahn, Tom Hanks, Griffin Dunne, Debra Monk, Adam Scott, Patrick Fischler, Wallace Langham, Jonathan Ames, Jacquie Barnbrook, Paul Darricarrere, Terry Scannell, Matt Hoey, Jobi Graham"",""Runtime"":""90"",""HD"":""Yes"",""license_start_date"":""01-03-2022T00:00:00.000Z"",""license_end_date"":""31-03-2022T00:00:00.000Z"",""release date"":""2009""}"
3340465,"{""filename"":""3340465"",""title"":""GREY LADY"",""Genre"":""Thriller"",""Rating"":""R"",""Short_Synopsis"":""After the murder in Boston of his police partner and lover, homicide Detective James Doyle (Eric Dane) follows a clue embedded in her dying words to the remote island of Nantucket to hunt for her killer in the lonely off-season."",""adBreaks"":""00:12:55:21,00:24:59:10,00:37:22:05,00:48:58:00,01:00:21:19,01:12:47:01,01:25:30:24,01:36:00:11"",""Director"":""John Shea"",""Cast"":""Eric Dane, Natalie Zea, Adrian Lester, Rebecca Gayheart, Laila Robins, John Shea, Amy Madigan"",""Runtime"":""109"",""HD"":""Yes"",""license_start_date"":""01-03-2022T00:00:00.000Z"",""license_end_date"":""31-03-2022T00:00:00.000Z"",""release date"":""2017""}"
3370050,"{""filename"":""3370050"",""title"":""HANDS OF STONE"",""Genre"":""Action, Drama"",""Rating"":""R"",""Short_Synopsis"":""HANDS OF STONE follows the life of Roberto Duran (Edgar Ramirez), the Panamanian fighter who made his professional debut in 1968 as a 16 year-old and retired in 2002 at the age of 50."",""adBreaks"":""00:10:54:00,00:21:18:00,00:33:53:00,00:45:00:00,00:56:13:00,01:06:51:00,01:23:41:00,01:34:02:00"",""Director"":""Jonathan Jakubowicz"",""Cast"":""Robert De Niro, Edgar Ramirez, Ana De Armas, Usher Raymond IV, Ruben Blades, John Turturro, Ellen Barkin, Jurnee Smollett-Bell"",""Runtime"":""105"",""HD"":""Yes"",""license_start_date"":""01-03-2022T00:00:00.000Z"",""license_end_date"":""31-03-2022T00:00:00.000Z"",""release date"":""2016""}"
3770052,"{""filename"":""3770052"",""title"":""HUNTING PARTY, THE"",""Genre"":""Adventure, Drama, Thriller, Comedy"",""Rating"":""R"",""Short_Synopsis"":""A young journalist, a cameraman and a discredited war correspondent go on an unauthorized mission to find the most wan"",""adBreaks"":""00:10:44:18,00:22:38:00,00:33:42:04,00:47:01:19,00:59:24:11,01:11:14:18,01:23:20:16"",""Director"":""Richard Shepard"",""Cast"":""Richard Gere, Terrence Howard, James Brolin, Jesse Eisenberg, Diane Kruger"",""Runtime"":""101"",""HD"":""Yes"",""license_start_date"":""01-03-2022T00:00:00.000Z"",""license_end_date"":""31-03-2022T00:00:00.000Z"",""release date"":""2007""}"
3340791,"{""filename"":""3340791"",""title"":""OPERATION: ENDGAME"",""Genre"":""Crime, Comedy, Adventure, Action"",""Rating"":""R"",""Short_Synopsis"":""Two rival teams of assassins. One killer day at the office. An all-star cast including Rob Corddry, Ellen Barkin, Zach Galifianakis, Ving Rhames, and Jeffrey Tambor fight to the death to be the last man standing in this hilarious action comedy!"",""adBreaks"":""00:10:12:00,00:20:18:00,00:30:35:00,00:40:41:00,00:51:14:00,01:01:47:00,01:12:24:00"",""Director"":""Fouad Mikati"",""Cast"":""Adam Scott, Ellen Barkin, Emilie de Ravin, Jeffrey Tambor, Joe Anderson, Rob Corddry, Ving Rhames, Zach Galifianakis"",""Runtime"":""82"",""HD"":"""",""license_start_date"":""01-03-2022T00:00:00.000Z"",""license_end_date"":""31-03-2022T00:00:00.000Z"",""release date"":""2010""}"
9382024,"{""filename"":""9382024"",""title"":""TENDERNESS"",""Genre"":""Drama, Thriller, Crime"",""Rating"":""R"",""Short_Synopsis"":""Russell Crowe stars as a strong, quiet detective determined to unravel the past to discover the truth about a violent young man released from prison."",""adBreaks"":""00:13:19:03,00:24:42:12,00:37:10:03,00:50:10:25,01:00:26:24,01:10:52:10,01:24:30:23"",""Director"":""John Polson"",""Cast"":""Russell Crowe, Jon Foster, Sophie Traub, Laura Dern, Alexis Dziena, Arija Bareikis, Tim Hopper, Vivienne Benesch, Brian Patrick Russell, Lou Sumrall, Tanya Clarke, Michael Kelly, Lee R. Sellars, Matt Pepper, Saul Stein, Dan Fountain, C.S. Lee"",""Runtime"":""101"",""HD"":""Yes"",""license_start_date"":""01-03-2022T00:00:00.000Z"",""license_end_date"":""31-03-2022T00:00:00.000Z"",""release date"":""2009""}"
3690019,"{""filename"":""3690019"",""title"":""VERY BAD THINGS"",""Genre"":""Comedy, Drama"",""Rating"":""R"",""Short_Synopsis"":""Wedding guests turn on each other after a prostitute is killed."",""adBreaks"":""00:10:38:12,00:20:11:02,00:32:03:14,00:44:37:10,00:57:35:24,01:10:37:12,01:21:08:16,01:28:51:21"",""Director"":""Peter Berg"",""Cast"":""Jon Favreau, Leland Orser, Cameron Diaz, Christian Slater, Rob Brownstein"",""Runtime"":""100"",""HD"":""Yes"",""license_start_date"":""01-03-2022T00:00:00.000Z"",""license_end_date"":""31-03-2022T00:00:00.000Z"",""release date"":""1998""}"
3340011,"{""filename"":""3340011"",""title"":""5 DAYS OF WAR"",""Genre"":""War, Action, Drama"",""Rating"":""R"",""Short_Synopsis"":""A renegade American journalist is caught behind enemy lines during the swift but devastating 5-day war between Russia and the Georgian Republic in 2008. Inspired by true events."",""adBreaks"":""00:10:47:03,00:22:36:20,00:32:25:24,00:42:46:00,00:55:13:20,01:10:31:08,01:22:14:13,01:36:30:25"",""Director"":""Renny Harlin"",""Cast"":""Rupert Friend, Val Kilmer, Emmanuelle Chriqui, Andy Garcia, Richard Coyle, Heather Graham, Dean Cain"",""Runtime"":""90"",""HD"":""Yes"",""license_start_date"":""01-03-2022T00:00:00.000Z"",""license_end_date"":""31-03-2022T00:00:00.000Z"",""release date"":""2011""}"
9380584,"{""filename"":""9380584"",""title"":""DOES THIS MEAN WE'RE MARRIED?"",""Genre"":""Comedy, Romance"",""Rating"":""PG-13"",""Short_Synopsis"":""Deena is an American stand-up comedian living in Paris. She pays struggling French musician Nick to marry her in order to get her green card. Can they convince the suspicious French immigration official that they are deeply in love?"",""adBreaks"":""00:12:04:00,00:22:36:00,00:33:01:00,00:44:18:00,00:56:12:00,01:07:23:00,01:17:51:00"",""Director"":""Carol Wiseman"",""Cast"":""Patsy Kensit, St�phane Freiss, Mouss Diouf, Anne-Marie Pisani, Joseph Momo, Jean-Marc Truong, An Luu, Mapi Gal�n, Fedele Papalia, Andr� Chaumeau, Pierre Belot, Laura Benson, Loic Brabant, Hugues Profy, Ma�t� Nahyr, Michel Prud'Homme, Dominique Hulin"",""Runtime"":""94"",""HD"":""No"",""license_start_date"":""01-03-2022T00:00:00.000Z"",""license_end_date"":""31-03-2022T00:00:00.000Z"",""release date"":""1991""}"
2500519,"{""filename"":""2500519"",""title"":""BIG EMPTY, THE"",""Genre"":""Mystery, Comedy, Drama, Sci-Fi"",""Rating"":""R"",""Short_Synopsis"":""Struggling actor John Person (Jon Favreau) is hopelessly mired in debt. But things start to look up (or do they?) when he receives an offer from a strange man that could solve all his financial woes."",""adBreaks"":""00:13:17:02,00:24:46:26,00:35:39:19,00:46:51:07,00:57:13:25,01:11:11:19,01:22:40:20"",""Director"":""Steve Anderson"",""Cast"":""Jon Favreau, Joey Lauren Adams, Bud Cort, Daryl Hannah, Adam Beach, Gary Farmer, Rachael Leigh Cook, Kelsey Grammer, Melora Walters, Sean Bean, Alejandra Aguilan, Jay Brothers, Sara Fouts, Britney Gillum, Martin GluharJon Gries, Jon Gries, Brent Bris"",""Runtime"":""92"",""HD"":""Yes"",""license_start_date"":""01-03-2022T00:00:00.000Z"",""license_end_date"":""31-03-2022T00:00:00.000Z"",""release date"":""2003""}"
2650175,"{""filename"":""2650175"",""title"":""BLINDSPOTTING (2018)"",""Genre"":""Comedy, Drama"",""Rating"":""R"",""Short_Synopsis"":""Lifelong friends Daveed Diggs and Rafael Casal co-wrote and star in this timely and wildly entertaining story about the intersection of race and class set against the backdrop of a rapidly gentrifying Oakland."",""adBreaks"":""00:11:50:19,00:21:57:12,00:32:56:20,00:44:28:00,00:54:26:16,01:06:50:19,01:16:55:14,01:28:48:19"",""Director"":""Carlos L�pez Estrada"",""Cast"":""Daveed Diggs, Rafael Casal, Janina Gavankar, Jasmine Cephas Jones, Tisha Campbell-Martin, Ethan Embry"",""Runtime"":""95"",""HD"":""Yes"",""license_start_date"":""01-03-2022T00:00:00.000Z"",""license_end_date"":""31-03-2022T00:00:00.000Z"",""release date"":""2018""}"
2500182,"{""filename"":""2500182"",""title"":""DR. T AND THE WOMEN"",""Genre"":""Comedy, Romance, Drama"",""Rating"":""R"",""Short_Synopsis"":""A handsome gynecologist (Richard Gere) in the throes of a mid-life crisis has as much trouble with his family's lives as with his own. Luckily, he discovers a woman (Helen Hunt) who may hold the answers to his problems."",""adBreaks"":""00:13:04:27,00:24:26:03,00:35:27:01,00:47:27:02,00:58:07:14,01:10:52:06,01:27:04:23,01:37:41:11,01:49:31:04"",""Director"":""Robert Altman"",""Cast"":""Richard Gere, Helen Hunt, Farrah Fawcett, Laura Dern, Shelley Long, Tara Reid, Kate Hudson, Liv Tyler, Robert Hays, Matt Malloy, Andy Richter, Lee Grant, Janine Turner, Holly Pelham, Jeanne Evans, Ramsey Williams, Dorothy Deavers, Ellen Locy, Cameron"",""Runtime"":""122"",""HD"":""Yes"",""license_start_date"":""01-03-2022T00:00:00.000Z"",""license_end_date"":""31-03-2022T00:00:00.000Z"",""release date"":""2000""}"
9380861,"{""filename"":""9380861"",""title"":""MAID, THE"",""Genre"":""Comedy, Romance"",""Rating"":""PG"",""Short_Synopsis"":""An American businessman in Paris poses as a cleaner in order to get closer to a wealthy woman he has his sights set on, unaware that she is actually the president of the bank he is soon to start work in."",""adBreaks"":""00:10:18:00,00:23:09:00,00:33:30:00,00:44:15:00,00:54:48:00,01:05:09:00,01:15:33:00"",""Director"":""Ian Toynton"",""Cast"":""Martin Sheen, Jacqueline Bisset, Jean-Pierre Cassel, Victoria Shalet, James Faulkner, Isabelle Guiard, Dominic Gould, Catherine Lachens, Joe Cosgrove, Carina Barone, Jerry Di Giacomo, Jean Martin, Philippe Dehesdin, Catherine Alcover, R�my Burkel"",""Runtime"":""90"",""HD"":""Yes"",""license_start_date"":""01-03-2022T00:00:00.000Z"",""license_end_date"":""31-03-2022T00:00:00.000Z"",""release date"":""1991""}"
3690008,"{""filename"":""3690008"",""title"":""FIRST BORN"",""Genre"":""Mystery, Horror, Drama"",""Rating"":""PG-13"",""Short_Synopsis"":""A woman who wanted nothing more in life than to become a mother finds her sanity slipping after the birth of her child in a terrifying look at the horrors of parenthood starring Academy Award nominee Elisabeth Shue."",""adBreaks"":""00:10:57:16,00:21:39:20,00:33:00:01,00:43:29:29,00:54:28:09,01:06:51:01,01:19:23:07"",""Director"":""Isaac Webb"",""Cast"":""Elisabeth Shue, Steven Mackintosh, Kathleen Chalfant, Khandi Alexander, Anne Wolf"",""Runtime"":""95"",""HD"":""Yes"",""license_start_date"":""01-03-2022T00:00:00.000Z"",""license_end_date"":""31-03-2022T00:00:00.000Z"",""release date"":""2007""}"
3340735,"{""filename"":""3340735"",""title"":""MY SUMMER PRINCE"",""Genre"":""Comedy, Romance"",""Rating"":""TV-G"",""Short_Synopsis"":""PR crisis manager Deidre and her assistant Mandy fly in when rebellious royal Prince Colin is arrested in small-town Idaho. But when Deidre faces her own fiasco, Mandy finds herself with unexpected career (and romantic) opportunities."",""adBreaks"":""00:11:08:12,00:23:13:04,00:34:23:15,00:45:41:10,00:56:36:14,01:07:10:04,01:18:42:04"",""Director"":""Peter Sullivan"",""Cast"":""Taylor Cole,�Jack Turner,�Lauren Holly"",""Runtime"":""84"",""HD"":""Yes"",""license_start_date"":""01-03-2022T00:00:00.000Z"",""license_end_date"":""31-03-2022T00:00:00.000Z"",""release date"":""2016""}"
3340802,"{""filename"":""3340802"",""title"":""PAPER HEART"",""Genre"":""Drama, Documentary, Romance, Comedy"",""Rating"":""PG-13"",""Short_Synopsis"":""Charlyne Yi embarks on a quest to make a documentary about the one subject she doesn�t understand: Love. When she meets a boy after her own heart (Michael Cera), things get interesting."",""adBreaks"":""00:10:04:00,00:20:08:00,00:32:59:00,00:42:33:00,00:54:18:00,01:05:12:00,01:16:16:00"",""Director"":""Nicholas Jasenovec"",""Cast"":""Charlyne Yi, Michael Cera, Jake Johnson"",""Runtime"":""88"",""HD"":""Yes"",""license_start_date"":""01-03-2022T00:00:00.000Z"",""license_end_date"":""31-03-2022T00:00:00.000Z"",""release date"":""2009""}"
9170005,"{""filename"":""9170005"",""title"":""KICKBOXER"",""Genre"":""Sports, Action, Adventure, Thriller"",""Rating"":""R"",""Short_Synopsis"":""After kickboxing champ Eric Sloane (Dennis Alexio) is crippled in the ring by the evil Tong Po, Eric's younger brother, Kurt (Jean Claude Van Damme), seeks vengeance."",""adBreaks"":""00:11:17:00,00:21:00:00,00:32:12:00,00:42:15:00,00:53:01:00,01:03:21:00,01:13:15:00,01:23:10:00"",""Director"":""Mark DiSalle, David Worth"",""Cast"":""Jean-Claude Van Damme, Dennis Alexio, Dennis Chan, Haskell Anderson, Rochelle Ashana, Michel Qissi, Ka Ting Lee, Richard Foo, Ricky Liu, Ho Ying Sin, Tony Chan, Brad Kerner, Dean Harrington, Mark DiSalle, Richard Santoro, Louis Roth, Nickolas James"",""Runtime"":""97"",""HD"":""Yes"",""license_start_date"":""01-03-2022T00:00:00.000Z"",""license_end_date"":""31-03-2022T00:00:00.000Z"",""release date"":""1989""}"
3370156,"{""filename"":""3370156"",""title"":""MY BLUEBERRY NIGHTS"",""Genre"":""Romance, Drama"",""Rating"":""PG-13"",""Short_Synopsis"":""A young woman takes a soul-searching journey across America to resolve her questions about love while encountering a series of offbeat characters along the way."",""adBreaks"":""00:10:30:00,00:24:03:00,00:38:45:00,00:50:26:00,01:02:36:00,01:12:56:00,01:22:05:00"",""Director"":""Kar Wai Wong"",""Cast"":""Jude Law, Natalie Portman, Norah Jones, Chad R. Davis, Rachel Weisz"",""Runtime"":""95"",""HD"":"" "",""license_start_date"":""01-03-2022T00:00:00.000Z"",""license_end_date"":""31-03-2022T00:00:00.000Z"",""release date"":""2008""}"
